epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,1285.22,1.73443,2.65016,1.78668,0.73545,0.25806,0.26696,0.1009,0.22219,1.89104,0.24406,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1761.55,1.76095,2.64605,1.79203,0.75323,0.25241,0.27064,0.104,0.22313,2.13645,0.24436,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2239.76,1.78481,2.64625,1.82724,0.75646,0.28427,0.28677,0.11354,0.22519,2.63565,0.24351,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2723.04,1.76676,2.5913,1.80569,0.77278,0.25403,0.28632,0.12271,0.22015,1.86655,0.24024,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3203.81,1.73129,2.51177,1.76374,0.72698,0.28831,0.27185,0.10979,0.2255,1.41326,0.24069,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3693.02,1.74806,2.54094,1.78627,0.75056,0.26411,0.27493,0.11088,0.2173,2.08785,0.23714,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4187.09,1.76166,2.58821,1.81241,0.78091,0.26411,0.28948,0.12435,0.21987,1.42054,0.2393,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4677.49,1.7417,2.50926,1.7844,0.7523,0.28629,0.3005,0.12211,0.2161,2.32999,0.23643,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5156.09,1.76031,2.49599,1.75264,0.77781,0.27218,0.3072,0.12124,0.22185,1.37133,0.23594,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5616.3,1.70995,2.5364,1.75663,0.75244,0.24194,0.28155,0.12419,0.22133,1.08061,0.23629,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6092.93,1.74911,2.45997,1.75884,0.75422,0.28024,0.29582,0.12566,0.2191,1.6761,0.23406,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6578.66,1.7299,2.44851,1.71664,0.74162,0.24395,0.26517,0.11616,0.21778,0.86498,0.23135,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7067.21,1.7156,2.39603,1.74514,0.76536,0.24798,0.2823,0.12169,0.221,0.74854,0.2356,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7562.99,1.6974,2.45163,1.73145,0.76574,0.27016,0.28444,0.12909,0.21941,1.05465,0.2361,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8061.06,1.66656,2.40048,1.70715,0.79398,0.27905,0.30012,0.12583,0.21685,1.65476,0.2349,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8564.39,1.70056,2.29985,1.71638,0.80641,0.28427,0.33149,0.14051,0.217,1.7947,0.23294,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9071.83,1.73067,2.3867,1.73376,0.79067,0.28226,0.3196,0.14044,0.21519,1.35572,0.23091,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9581.84,1.7202,2.36701,1.75306,0.78931,0.27686,0.30316,0.13431,0.21575,1.20625,0.23064,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10096.4,1.66712,2.3902,1.68979,0.78991,0.27621,0.31854,0.13276,0.22007,1.63957,0.2366,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10606.8,1.70203,2.32837,1.74045,0.79652,0.27218,0.3022,0.13052,0.21615,1.7086,0.23438,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11117.2,1.66304,2.27342,1.69767,0.77633,0.27218,0.30191,0.13784,0.21794,0.90179,0.23321,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11630.5,1.66335,2.30221,1.72626,0.76497,0.27823,0.3163,0.14033,0.2135,1.58603,0.23202,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12144.1,1.62243,2.24196,1.66656,0.79572,0.29032,0.31685,0.14128,0.2136,1.11257,0.23228,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12625.8,1.62828,2.2546,1.6726,0.79001,0.29032,0.33136,0.14555,0.21421,0.90584,0.23116,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13081.4,1.64451,2.19192,1.66896,0.80503,0.29032,0.33893,0.14643,0.218,1.00289,0.23367,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13533.8,1.67496,2.24273,1.70603,0.7967,0.28831,0.32517,0.139,0.21829,1.15008,0.23486,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13984.2,1.67804,2.23113,1.73038,0.80416,0.28427,0.32241,0.13928,0.21606,1.34665,0.23405,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14432.7,1.61676,2.24768,1.69096,0.79661,0.28815,0.32324,0.14313,0.2153,0.73042,0.23282,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,324.517,1.62856,2.17807,1.69392,0.79465,0.29637,0.32728,0.14395,0.21765,0.95042,0.23451,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,731.704,1.54876,2.04956,1.62324,0.80341,0.29839,0.3376,0.15458,0.2144,1.20096,0.23031,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1158.17,1.59636,2.14982,1.64833,0.82423,0.29637,0.34485,0.15559,0.21497,0.95107,0.23076,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1584.04,1.58839,2.17691,1.64245,0.82559,0.30847,0.34638,0.15285,0.21402,0.87621,0.23063,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2012.49,1.61809,2.16379,1.67628,0.80347,0.29839,0.35076,0.15354,0.21507,1.24183,0.23137,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
