epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,20870.4,1.70616,2.35239,1.70488,0.7889,0.27591,0.34303,0.14658,0.22002,1.53498,0.23538,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,21231.3,1.71282,2.35213,1.7492,0.78064,0.28226,0.32544,0.13258,0.22269,0.94328,0.23715,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21594.8,1.70291,2.29538,1.72068,0.80462,0.27419,0.31692,0.1419,0.21411,0.97705,0.22994,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,21953.1,1.65155,2.24,1.68682,0.79645,0.28629,0.33896,0.14598,0.22052,0.63974,0.23326,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,22315.1,1.70527,2.27729,1.71021,0.80055,0.26736,0.32548,0.14477,0.21577,0.76377,0.2306,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,22675.6,1.68182,2.28316,1.68498,0.80578,0.27419,0.34384,0.15107,0.21335,0.74896,0.22955,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,23045.1,1.65889,2.2182,1.66913,0.80195,0.27218,0.34936,0.164,0.21178,1.14146,0.2268,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,23416,1.67127,2.17545,1.6807,0.78115,0.29526,0.33286,0.14767,0.21084,1.33137,0.22677,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23781.2,1.62705,2.18671,1.6456,0.77685,0.27264,0.31798,0.14237,0.21255,0.7818,0.22756,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,24143.9,1.63983,2.19031,1.65167,0.81261,0.28024,0.3596,0.15785,0.21392,0.72949,0.22977,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,24506.8,1.61379,2.14068,1.63824,0.8102,0.27349,0.3402,0.15564,0.21324,0.86706,0.22814,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24869.5,1.6557,2.1531,1.6846,0.80676,0.29032,0.35065,0.15782,0.21739,1.01678,0.23122,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,25230.6,1.68505,2.19202,1.68756,0.81263,0.28427,0.35731,0.15957,0.21696,0.93794,0.22971,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25595.5,1.64485,2.20569,1.6571,0.80331,0.3004,0.35237,0.15908,0.21118,0.9247,0.22582,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,25957.9,1.64907,2.15366,1.65576,0.81853,0.29435,0.37076,0.16394,0.21664,0.7306,0.22999,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,26327.3,1.59285,2.12676,1.63982,0.80342,0.29435,0.38279,0.16931,0.21706,0.95071,0.2318,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,26694.9,1.62313,2.13636,1.66599,0.82186,0.2805,0.39089,0.16804,0.21777,0.93114,0.23177,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,27065.1,1.57939,2.09848,1.6198,0.80973,0.28831,0.37183,0.16152,0.21862,1.18338,0.23201,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,27432.7,1.61888,2.15383,1.63821,0.80824,0.27621,0.37945,0.17121,0.21369,0.78531,0.22866,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,27803.2,1.60839,2.08835,1.61875,0.82482,0.27663,0.37825,0.17305,0.21379,0.76789,0.22706,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,28173.2,1.59288,1.9763,1.60407,0.81877,0.29637,0.39941,0.17855,0.21608,0.78416,0.22811,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,28543.6,1.61842,1.98937,1.63133,0.7877,0.32258,0.36497,0.16292,0.21702,0.8838,0.22926,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,28917.5,1.60706,2.03676,1.63926,0.79238,0.33065,0.38383,0.16922,0.21921,0.91754,0.23164,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,29291.6,1.58514,2.03934,1.61896,0.81458,0.29637,0.37028,0.16542,0.21644,0.82876,0.2304,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,29667.6,1.60375,2.00802,1.62803,0.80737,0.3217,0.36332,0.16582,0.21563,0.93159,0.23038,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,30038.9,1.53985,2.02509,1.62116,0.80148,0.31536,0.36564,0.16975,0.21621,1.06,0.23175,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,30410.1,1.54225,1.97376,1.56344,0.80983,0.33175,0.38046,0.17563,0.2172,0.83677,0.23086,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,30783.9,1.56376,1.92237,1.62422,0.80572,0.3246,0.38017,0.17362,0.21847,0.73649,0.23283,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,31156.9,1.50853,1.86566,1.55595,0.81357,0.30847,0.37534,0.17293,0.21882,0.67611,0.23329,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,31528.3,1.5267,1.93974,1.57529,0.79399,0.32863,0.36999,0.17407,0.21739,0.65459,0.2325,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,31902,1.59176,1.96871,1.63221,0.79396,0.32661,0.37184,0.17144,0.21736,0.70444,0.2328,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,32276.4,1.56286,1.93269,1.60296,0.80315,0.32661,0.38343,0.1744,0.21661,0.73163,0.23136,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,32650.6,1.56413,1.99978,1.61556,0.79668,0.33244,0.37464,0.16996,0.2185,0.71119,0.23259,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,33020.9,1.29978,1.56305,1.38519,0.30948,0.46692,0.37605,0.17373,0.21756,0.64182,0.23117,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,33381.2,1.23978,1.42226,1.35021,0.32053,0.45267,0.38513,0.17761,0.2169,0.63694,0.23047,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,33747.4,1.25384,1.44001,1.36012,0.30453,0.47726,0.38112,0.1766,0.21583,0.59188,0.22975,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,34115.2,1.28184,1.46658,1.40176,0.29887,0.49782,0.38674,0.17851,0.21607,0.62435,0.23014,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,34483.3,1.24335,1.36851,1.35507,0.2897,0.48344,0.38775,0.18186,0.21611,0.61524,0.23114,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,34850,1.25242,1.41376,1.36824,0.29442,0.47323,0.38464,0.17794,0.21758,0.60539,0.23282,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,35218.8,1.22777,1.36609,1.33248,0.29554,0.51824,0.38077,0.17732,0.2172,0.62312,0.23227,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,35589.9,1.18464,1.33156,1.30387,0.28172,0.5493,0.38298,0.17546,0.21782,0.62397,0.23253,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,35962.6,1.22728,1.36068,1.33861,0.29457,0.53867,0.37907,0.17671,0.21793,0.58629,0.23274,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,36334.7,1.21651,1.3189,1.33615,0.28605,0.57146,0.38356,0.1782,0.21907,0.58693,0.23383,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
